full_text,sentences,cleansing,case folding,tokens,normalize,Stopword,stemming
@moonjinbykairaa Oh kek kopken janji_jiwa gitu ya,@moonjinbykairaa Oh kek kopken janji_jiwa gitu ya, Oh kek kopken janjijiwa gitu ya, oh kek kopken janji_jiwa gitu ya,"['oh', 'kek', 'kopken', 'janji_jiwa', 'gitu', 'ya']","['oh', 'kayak', 'kopi kenangan', 'janji_jiwa', 'begitu', 'ya']","['kayak', 'kopi kenangan', 'janji_jiwa']",kayak kopi kenang janji_jiwa
Lanjut dari janji_jiwa ke STAY HUNGRY ada yang tau https://t.co/u0iWPcpfKt,Lanjut dari janji_jiwa ke STAY HUNGRY ada yang tau https://t.co/u0iWPcpfKt,Lanjut dari janjijiwa ke STAY HUNGRY ada yang tau ,lanjut dari janji_jiwa ke stay hungry ada yang tau ,"['lanjut', 'dari', 'janji_jiwa', 'ke', 'stay', 'hungry', 'ada', 'yang', 'tau']","['lanjut', 'dari', 'janji_jiwa', 'ke', 'stay', 'hungry', 'ada', 'yang', 'tau']","['lanjut', 'janji_jiwa', 'stay', 'hungry', 'tau']",lanjut janji_jiwa stay hungry tau
hari ini kopi nya caramel macchiato dari janji_jiwa,hari ini kopi nya caramel macchiato dari janji_jiwa,hari ini kopi nya caramel macchiato dari janjijiwa,hari ini kopi nya caramel macchiato dari janji_jiwa,"['hari', 'ini', 'kopi', 'nya', 'caramel', 'macchiato', 'dari', 'janji_jiwa']","['hari', 'ini', 'kopi', 'nya', 'caramel', 'macchiato', 'dari', 'janji_jiwa']","['hari', 'kopi', 'nya', 'caramel', 'macchiato', 'janji_jiwa']",hari kopi nya caramel macchiato janji_jiwa
@Pai_C1 janji_jiwa seblak aesthetic,@Pai_C1 janji_jiwa seblak aesthetic, janjijiwa seblak aesthetic, janji_jiwa seblak aesthetic,"['janji_jiwa', 'seblak', 'aesthetic']","['janji_jiwa', 'seblak', 'aesthetic']","['janji_jiwa', 'seblak', 'aesthetic']",janji_jiwa seblak aesthetic
@FOODFESS2 @capymoio knp byk yg ga suka janji_jiwa pdhl itu fav gueh 2nd is kopken trs fore tp fore manis sih,@FOODFESS2 @capymoio knp byk yg ga suka janji_jiwa pdhl itu fav gueh 2nd is kopken trs fore tp fore manis sih,  knp byk yg ga suka janjijiwa pdhl itu fav gueh nd is kopken trs fore tp fore manis sih,  knp byk yg ga suka janji_jiwa pdhl itu fav gueh nd is kopken trs fore tp fore manis sih,"['knp', 'byk', 'yg', 'ga', 'suka', 'janji_jiwa', 'pdhl', 'itu', 'fav', 'gueh', 'nd', 'is', 'kopken', 'trs', 'fore', 'tp', 'fore', 'manis', 'sih']","['kenapa', 'banyak', 'yang', 'engga', 'suka', 'janji_jiwa', 'padahal', 'itu', 'favorit', 'saya', 'indak', 'is', 'kopi kenangan', 'terus', 'fore', 'tapi', 'fore', 'manis', 'sih']","['banyak', 'engga', 'suka', 'janji_jiwa', 'padahal', 'favorit', 'indak', 'is', 'kopi kenangan', 'terus', 'fore', 'fore', 'manis', 'sih']",banyak engga suka janji_jiwa padahal favorit indak is kopi kenang terus fore fore manis sih
Halo warga Magelang Shoes And Care Open Recruitment! Kami mencari : Store Manager Shoe Technician KIRIMKAN CV DAN LAMARAN KE: SHOES AND CARE Ruko Maris Square A9 Magelang (Jadi satu dengan kopi janji_jiwa jilid 261) https://t.co/pCqwGQzCGO https://t.co/1L39BCrJvz,Halo warga Magelang Shoes And Care Open Recruitment!,Halo warga Magelang Shoes And Care Open Recruitment,halo warga magelang shoes and care open recruitment,"['halo', 'warga', 'magelang', 'shoes', 'and', 'care', 'open', 'recruitment']","['halo', 'warga', 'magelang', 'shoes', 'and', 'care', 'open', 'recruitment']","['halo', 'warga', 'magelang', 'shoes', 'and', 'care', 'open', 'recruitment']",halo warga magelang shoes and care open recruitment
Halo warga Magelang Shoes And Care Open Recruitment! Kami mencari : Store Manager Shoe Technician KIRIMKAN CV DAN LAMARAN KE: SHOES AND CARE Ruko Maris Square A9 Magelang (Jadi satu dengan kopi janji_jiwa jilid 261) https://t.co/pCqwGQzCGO https://t.co/1L39BCrJvz,Kami mencari : Store Manager Shoe Technician KIRIMKAN CV DAN LAMARAN KE: SHOES AND CARE Ruko Maris Square A9 Magelang (Jadi satu dengan kopi janji_jiwa jilid 261) https://t.co/pCqwGQzCGO https://t.co/1L39BCrJvz,Kami mencari  Store Manager Shoe Technician KIRIMKAN CV DAN LAMARAN KE SHOES AND CARE Ruko Maris Square A Magelang Jadi satu dengan kopi janjijiwa jilid   ,kami mencari  store manager shoe technician kirimkan cv dan lamaran ke shoes and care ruko maris square a magelang jadi satu dengan kopi janji_jiwa jilid   ,"['kami', 'mencari', 'store', 'manager', 'shoe', 'technician', 'kirimkan', 'cv', 'dan', 'lamaran', 'ke', 'shoes', 'and', 'care', 'ruko', 'maris', 'square', 'a', 'magelang', 'jadi', 'satu', 'dengan', 'kopi', 'janji_jiwa', 'jilid']","['kami', 'mencari', 'store', 'manager', 'shoe', 'technician', 'kirimkan', 'cv', 'dan', 'lamaran', 'ke', 'shoes', 'and', 'care', 'ruko', 'maris', 'square', 'a', 'magelang', 'jadi', 'satu', 'dengan', 'kopi', 'janji_jiwa', 'jilid']","['mencari', 'store', 'manager', 'shoe', 'technician', 'kirimkan', 'cv', 'lamaran', 'shoes', 'and', 'care', 'ruko', 'maris', 'square', 'a', 'magelang', 'jadi', 'satu', 'kopi', 'janji_jiwa', 'jilid']",cari store manager shoe technician kirim cv lamar shoes and care ruko mar square a magelang jadi satu kopi janji_jiwa jilid
@deuniversee janji_jiwa?,@deuniversee janji_jiwa?, janjijiwa, janji_jiwa,['janji_jiwa'],['janji_jiwa'],['janji_jiwa'],janji_jiwa
Kopi susu sahabat janji_jiwa ada gila2nya enakkkk bgtttt pliss skg jg fav bgttt mana murahhh gilaaaaa,Kopi susu sahabat janji_jiwa ada gila2nya enakkkk bgtttt pliss skg jg fav bgttt mana murahhh gilaaaaa,Kopi susu sahabat janjijiwa ada gilanya enakkkk bgtttt pliss skg jg fav bgttt mana murahhh gilaaaaa,kopi susu sahabat janji_jiwa ada gilanya enakkkk bgtttt pliss skg jg fav bgttt mana murahhh gilaaaaa,"['kopi', 'susu', 'sahabat', 'janji_jiwa', 'ada', 'gilanya', 'enakkkk', 'bgtttt', 'pliss', 'skg', 'jg', 'fav', 'bgttt', 'mana', 'murahhh', 'gilaaaaa']","['kopi', 'susu', 'sahabat', 'janji_jiwa', 'ada', 'gilanya', 'enakkkk', 'banget', 'pliss', 'sekarang', 'juga', 'favorit', 'banget', 'mana', 'murah', 'gilaaaaa']","['kopi', 'susu', 'sahabat', 'janji_jiwa', 'gilanya', 'enakkkk', 'banget', 'pliss', 'sekarang', 'favorit', 'banget', 'mana', 'murah', 'gilaaaaa']",kopi susu sahabat janji_jiwa gila enakkkk banget pliss sekarang favorit banget mana murah gilaaaaa
Abis beberes kamar dan gw baru sadar ternyata gw numpuk totebag janji_jiwa banyak bangetttttt ada kyknya 8/9 :'',Abis beberes kamar dan gw baru sadar ternyata gw numpuk totebag janji_jiwa banyak bangetttttt ada kyknya 8/9 :'',Abis beberes kamar dan gw baru sadar ternyata gw numpuk totebag janjijiwa banyak bangetttttt ada kyknya  ,abis beberes kamar dan gw baru sadar ternyata gw numpuk totebag janji_jiwa banyak bangetttttt ada kyknya  ,"['abis', 'beberes', 'kamar', 'dan', 'gw', 'baru', 'sadar', 'ternyata', 'gw', 'numpuk', 'totebag', 'janji_jiwa', 'banyak', 'bangetttttt', 'ada', 'kyknya']","['habis', 'beberes', 'kamar', 'dan', 'saya', 'baru', 'sadar', 'ternyata', 'saya', 'menumpuk', 'totebag', 'janji_jiwa', 'banyak', 'banget', 'ada', 'kayaknya']","['habis', 'beberes', 'kamar', 'baru', 'sadar', 'ternyata', 'menumpuk', 'totebag', 'janji_jiwa', 'banyak', 'banget', 'kayaknya']",habis beberes kamar baru sadar nyata tumpuk totebag janji_jiwa banyak banget kayak
@MangkokIkan BJIR WKWJWKK JANJI SUCI yang penting bukan janji_jiwa aja nanti laper...,@MangkokIkan BJIR WKWJWKK JANJI SUCI yang penting bukan janji_jiwa aja nanti laper..., BJIR WKWJWKK JANJI SUCI yang penting bukan janjijiwa aja nanti laper, bjir wkwjwkk janji suci yang penting bukan janji_jiwa aja nanti laper,"['bjir', 'wkwjwkk', 'janji', 'suci', 'yang', 'penting', 'bukan', 'janji_jiwa', 'aja', 'nanti', 'laper']","['bjir', 'wkwjwkk', 'janji', 'suci', 'yang', 'penting', 'bukan', 'janji_jiwa', 'saja', 'nanti', 'laper']","['bjir', 'wkwjwkk', 'janji', 'suci', 'penting', 'bukan', 'janji_jiwa', 'laper']",bjir wkwjwkk janji suci penting bukan janji_jiwa laper
@yonathandinata janji_jiwa di 2019 masih waras gak waras pas jaman covid. Ini gua nyoba pas di Bali dan di Surabaya ya GK tau kalo di tempat lain.,@yonathandinata janji_jiwa di 2019 masih waras gak waras pas jaman covid., janjijiwa di  masih waras gak waras pas jaman covid, janji_jiwa di  masih waras gak waras pas jaman covid,"['janji_jiwa', 'di', 'masih', 'waras', 'gak', 'waras', 'pas', 'jaman', 'covid']","['janji_jiwa', 'di', 'masih', 'waras', 'enggak', 'waras', 'pas', 'jaman', 'covid']","['janji_jiwa', 'waras', 'enggak', 'waras', 'pas', 'jaman', 'covid']",janji_jiwa waras enggak waras pas jaman covid
@yonathandinata janji_jiwa di 2019 masih waras gak waras pas jaman covid. Ini gua nyoba pas di Bali dan di Surabaya ya GK tau kalo di tempat lain.,Ini gua nyoba pas di Bali dan di Surabaya ya GK tau kalo di tempat lain.,Ini gua nyoba pas di Bali dan di Surabaya ya GK tau kalo di tempat lain,ini gua nyoba pas di bali dan di surabaya ya gk tau kalo di tempat lain,"['ini', 'gua', 'nyoba', 'pas', 'di', 'bali', 'dan', 'di', 'surabaya', 'ya', 'gk', 'tau', 'kalo', 'di', 'tempat', 'lain']","['ini', 'gua', 'mencoba', 'pas', 'di', 'bali', 'dan', 'di', 'surabaya', 'ya', 'engga', 'tau', 'kalo', 'di', 'tempat', 'lain']","['gua', 'mencoba', 'pas', 'bali', 'surabaya', 'engga', 'tau', 'kalo', 'tempat']",gua coba pas bal surabaya engga tau kalo tempat
Tuku si emang best murah tapi enak jelas family mart. Dulu jaman corona soe tu enak dan gak mahal setelah corona jadi gak jelas. janji_jiwa mah manis doang enak kagak ,Tuku si emang best murah tapi enak jelas family mart.,Tuku si emang best murah tapi enak jelas family mart,tuku si emang best murah tapi enak jelas family mart,"['tuku', 'si', 'emang', 'best', 'murah', 'tapi', 'enak', 'jelas', 'family', 'mart']","['tuku', 'sih', 'memang', 'terbaik', 'murah', 'tapi', 'enak', 'jelas', 'family', 'mart']","['tuku', 'sih', 'memang', 'terbaik', 'murah', 'enak', 'jelas', 'family', 'mart']",tuku sih memang baik murah enak jelas family mart
Tuku si emang best murah tapi enak jelas family mart. Dulu jaman corona soe tu enak dan gak mahal setelah corona jadi gak jelas. janji_jiwa mah manis doang enak kagak ,Dulu jaman corona soe tu enak dan gak mahal setelah corona jadi gak jelas.,Dulu jaman corona soe tu enak dan gak mahal setelah corona jadi gak jelas,dulu jaman corona soe tu enak dan gak mahal setelah corona jadi gak jelas,"['dulu', 'jaman', 'corona', 'soe', 'tu', 'enak', 'dan', 'gak', 'mahal', 'setelah', 'corona', 'jadi', 'gak', 'jelas']","['dulu', 'jaman', 'corona', 'soe', 'itu', 'enak', 'dan', 'enggak', 'mahal', 'setelah', 'corona', 'jadi', 'enggak', 'jelas']","['dulu', 'jaman', 'corona', 'soe', 'enak', 'enggak', 'mahal', 'corona', 'jadi', 'enggak', 'jelas']",dulu jaman corona soe enak enggak mahal corona jadi enggak jelas
Tuku si emang best murah tapi enak jelas family mart. Dulu jaman corona soe tu enak dan gak mahal setelah corona jadi gak jelas. janji_jiwa mah manis doang enak kagak ,janji_jiwa mah manis doang enak kagak,janjijiwa mah manis doang enak kagak,janji_jiwa mah manis doang enak kagak,"['janji_jiwa', 'mah', 'manis', 'doang', 'enak', 'kagak']","['janji_jiwa', 'mah', 'manis', 'doang', 'enak', 'kagak']","['janji_jiwa', 'mah', 'manis', 'doang', 'enak', 'kagak']",janji_jiwa mah manis doang enak kagak
@frixwal @ThreadReceh_ Yessss wkwkwk mayan ada janji_jiwa skr sama toastnya yg lumayan enaaaaak ,@frixwal @ThreadReceh_ Yessss wkwkwk mayan ada janji_jiwa skr sama toastnya yg lumayan enaaaaak,  Yessss wkwkwk mayan ada janjijiwa skr sama toastnya yg lumayan enaaaaak,  yessss wkwkwk mayan ada janji_jiwa skr sama toastnya yg lumayan enaaaaak,"['yessss', 'wkwkwk', 'mayan', 'ada', 'janji_jiwa', 'skr', 'sama', 'toastnya', 'yg', 'lumayan', 'enaaaaak']","['yessss', 'tertawa', 'lumayan', 'ada', 'janji_jiwa', 'sekarang', 'sama', 'toastnya', 'yang', 'lumayan', 'enaaaaak']","['yessss', 'tertawa', 'lumayan', 'janji_jiwa', 'sekarang', 'sama', 'toastnya', 'lumayan', 'enaaaaak']",yessss tertawa lumayan janji_jiwa sekarang sama toastnya lumayan enaaaaak
@yonathandinata Kalau k janji_jiwa selalu beli matchanya sih.. di sini rasanya lumayan.. Oh y suka banget sama toastnya makany masih suka mampir,@yonathandinata Kalau k janji_jiwa selalu beli matchanya sih.. di sini rasanya lumayan.. Oh y suka banget sama toastnya makany masih suka mampir, Kalau k janjijiwa selalu beli matchanya sih di sini rasanya lumayan Oh y suka banget sama toastnya makany masih suka mampir, kalau k janji_jiwa selalu beli matchanya sih di sini rasanya lumayan oh y suka banget sama toastnya makany masih suka mampir,"['kalau', 'k', 'janji_jiwa', 'selalu', 'beli', 'matchanya', 'sih', 'di', 'sini', 'rasanya', 'lumayan', 'oh', 'y', 'suka', 'banget', 'sama', 'toastnya', 'makany', 'masih', 'suka', 'mampir']","['kalau', 'ke', 'janji_jiwa', 'selalu', 'beli', 'matchanya', 'sih', 'di', 'sini', 'rasanya', 'lumayan', 'oh', 'ya', 'suka', 'banget', 'sama', 'toastnya', 'makanya', 'masih', 'suka', 'mampir']","['kalau', 'janji_jiwa', 'selalu', 'beli', 'matchanya', 'sih', 'sini', 'rasanya', 'lumayan', 'suka', 'banget', 'sama', 'toastnya', 'makanya', 'suka', 'mampir']",kalau janji_jiwa selalu beli matchanya sih sini rasa lumayan suka banget sama toastnya makanya suka mampir
 janji_jiwa MATCHA LOVERS BELI 2 CUMA 15 RIBU AJA Klaim diskon https://t.co/Bg0dhG6YrS https://t.co/PESHmj5u3u, janji_jiwa MATCHA LOVERS BELI 2 CUMA 15 RIBU AJA Klaim diskon https://t.co/Bg0dhG6YrS https://t.co/PESHmj5u3u, janjijiwa MATCHA LOVERS BELI  CUMA  RIBU AJA Klaim diskon  , janji_jiwa matcha lovers beli  cuma  ribu aja klaim diskon  ,"['janji_jiwa', 'matcha', 'lovers', 'beli', 'cuma', 'ribu', 'aja', 'klaim', 'diskon']","['janji_jiwa', 'matcha', 'lovers', 'beli', 'cuma', 'ribu', 'saja', 'klaim', 'diskon']","['janji_jiwa', 'matcha', 'lovers', 'beli', 'cuma', 'ribu', 'klaim', 'diskon']",janji_jiwa matcha lovers beli cuma ribu klaim diskon
Gini ya setau gw dulu Kulo janji_jiwa dan Kopi Soe waktu awal2nya mereka masih kopi franchisean bikin kopinya belum pake mesin alias pake ROKpresso (manual) jadinya mungkin agak2 terasa encer/tipis kesannya. Tapi setelah itu udah pake mesin yg juga nggak jaminan karena...,Gini ya setau gw dulu Kulo janji_jiwa dan Kopi Soe waktu awal2nya mereka masih kopi franchisean bikin kopinya belum pake mesin alias pake ROKpresso (manual) jadinya mungkin agak2 terasa encer/tipis kesannya.,Gini ya setau gw dulu Kulo janjijiwa dan Kopi Soe waktu awalnya mereka masih kopi franchisean bikin kopinya belum pake mesin alias pake ROKpresso manual jadinya mungkin agak terasa encertipis kesannya,gini ya setau gw dulu kulo janji_jiwa dan kopi soe waktu awalnya mereka masih kopi franchisean bikin kopinya belum pake mesin alias pake rokpresso manual jadinya mungkin agak terasa encertipis kesannya,"['gini', 'ya', 'setau', 'gw', 'dulu', 'kulo', 'janji_jiwa', 'dan', 'kopi', 'soe', 'waktu', 'awalnya', 'mereka', 'masih', 'kopi', 'franchisean', 'bikin', 'kopinya', 'belum', 'pake', 'mesin', 'alias', 'pake', 'rokpresso', 'manual', 'jadinya', 'mungkin', 'agak', 'terasa', 'encertipis', 'kesannya']","['begini', 'ya', 'setau', 'saya', 'dulu', 'saya', 'janji_jiwa', 'dan', 'kopi', 'soe', 'waktu', 'awalnya', 'mereka', 'masih', 'kopi', 'franchisean', 'bikin', 'kopinya', 'belum', 'pakai', 'mesin', 'alias', 'pakai', 'rokpresso', 'manual', 'jadinya', 'mungkin', 'agak', 'terasa', 'encertipis', 'kesannya']","['begini', 'setau', 'dulu', 'janji_jiwa', 'kopi', 'soe', 'waktu', 'awalnya', 'kopi', 'franchisean', 'bikin', 'kopinya', 'pakai', 'mesin', 'alias', 'pakai', 'rokpresso', 'manual', 'jadinya', 'mungkin', 'terasa', 'encertipis', 'kesannya']",begini tau dulu janji_jiwa kopi soe waktu awal kopi franchisean bikin kopi pakai mesin alias pakai rokpresso manual jadi mungkin asa encertipis kesan
Gini ya setau gw dulu Kulo janji_jiwa dan Kopi Soe waktu awal2nya mereka masih kopi franchisean bikin kopinya belum pake mesin alias pake ROKpresso (manual) jadinya mungkin agak2 terasa encer/tipis kesannya. Tapi setelah itu udah pake mesin yg juga nggak jaminan karena...,Tapi setelah itu udah pake mesin yg juga nggak jaminan karena...,Tapi setelah itu udah pake mesin yg juga nggak jaminan karena,tapi setelah itu udah pake mesin yg juga nggak jaminan karena,"['tapi', 'setelah', 'itu', 'udah', 'pake', 'mesin', 'yg', 'juga', 'nggak', 'jaminan', 'karena']","['tapi', 'setelah', 'itu', 'sudah', 'pakai', 'mesin', 'yang', 'juga', 'enggak', 'jaminan', 'karena']","['pakai', 'mesin', 'enggak', 'jaminan']",pakai mesin enggak jamin
Sejak kapan janji_jiwa ada gerobaknya gawd daym,Sejak kapan janji_jiwa ada gerobaknya gawd daym,Sejak kapan janjijiwa ada gerobaknya gawd daym,sejak kapan janji_jiwa ada gerobaknya gawd daym,"['sejak', 'kapan', 'janji_jiwa', 'ada', 'gerobaknya', 'gawd', 'daym']","['sejak', 'kapan', 'janji_jiwa', 'ada', 'gerobaknya', 'god', 'damn']","['sejak', 'kapan', 'janji_jiwa', 'gerobaknya', 'god', 'damn']",sejak kapan janji_jiwa gerobak god damn
@ateqahmad @IanSalim janji_jiwa ga enak ta? aku belom pernah ,@ateqahmad @IanSalim janji_jiwa ga enak ta?,  janjijiwa ga enak ta,  janji_jiwa ga enak ta,"['janji_jiwa', 'ga', 'enak', 'ta']","['janji_jiwa', 'engga', 'enak', 'apakah']","['janji_jiwa', 'engga', 'enak']",janji_jiwa engga enak
@ateqahmad @IanSalim janji_jiwa ga enak ta? aku belom pernah ,aku belom pernah,aku belom pernah,aku belom pernah,"['aku', 'belom', 'pernah']","['aku', 'belum', 'pernah']","['aku', 'pernah']",aku pernah
@thepwd janji_jiwa ,@thepwd janji_jiwa, janjijiwa, janji_jiwa,['janji_jiwa'],['janji_jiwa'],['janji_jiwa'],janji_jiwa
janji_jiwa ngga minum kopinya tapi beli toastnya,janji_jiwa ngga minum kopinya tapi beli toastnya,janjijiwa ngga minum kopinya tapi beli toastnya,janji_jiwa ngga minum kopinya tapi beli toastnya,"['janji_jiwa', 'ngga', 'minum', 'kopinya', 'tapi', 'beli', 'toastnya']","['janji_jiwa', 'enggak', 'minum', 'kopinya', 'tapi', 'beli', 'toastnya']","['janji_jiwa', 'enggak', 'minum', 'kopinya', 'beli', 'toastnya']",janji_jiwa enggak minum kopi beli toastnya
Cui saya sebelumnya tinggal di aceh &amp; sering ke medan janji_jiwanya enak bgt loh. begitu tinggal di Jakarta cobain janji_jiwa iya memang rada2 sih,Cui saya sebelumnya tinggal di aceh &amp; sering ke medan janji_jiwanya enak bgt loh.,Cui saya sebelumnya tinggal di aceh amp sering ke medan janjijiwanya enak bgt loh,cui saya sebelumnya tinggal di aceh amp sering ke medan janji_jiwanya enak bgt loh,"['cui', 'saya', 'sebelumnya', 'tinggal', 'di', 'aceh', 'amp', 'sering', 'ke', 'medan', 'janji_jiwanya', 'enak', 'bgt', 'loh']","['cui', 'saya', 'sebelumnya', 'tinggal', 'di', 'aceh', 'amp', 'sering', 'ke', 'medan', 'janji_jiwanya', 'enak', 'banget', 'loh']","['cui', 'sebelumnya', 'tinggal', 'aceh', 'amp', 'sering', 'medan', 'janji_jiwanya', 'enak', 'banget', 'loh']",cui belum tinggal aceh amp sering medan janji_jiwa enak banget loh
Cui saya sebelumnya tinggal di aceh &amp; sering ke medan janji_jiwanya enak bgt loh. begitu tinggal di Jakarta cobain janji_jiwa iya memang rada2 sih,begitu tinggal di Jakarta cobain janji_jiwa iya memang rada2 sih,begitu tinggal di Jakarta cobain janjijiwa iya memang rada sih,begitu tinggal di jakarta cobain janji_jiwa iya memang rada sih,"['begitu', 'tinggal', 'di', 'jakarta', 'cobain', 'janji_jiwa', 'iya', 'memang', 'rada', 'sih']","['begitu', 'tinggal', 'di', 'jakarta', 'mencoba', 'janji_jiwa', 'iya', 'memang', 'rada', 'sih']","['tinggal', 'jakarta', 'mencoba', 'janji_jiwa', 'iya', 'memang', 'rada', 'sih']",tinggal jakarta coba janji_jiwa iya memang rada sih
Menurutku kopi alfamart the worst sih.. janji_jiwa gak seburuk itu,Menurutku kopi alfamart the worst sih.. janji_jiwa gak seburuk itu,Menurutku kopi alfamart the worst sih janjijiwa gak seburuk itu,menurutku kopi alfamart the worst sih janji_jiwa gak seburuk itu,"['menurutku', 'kopi', 'alfamart', 'the', 'worst', 'sih', 'janji_jiwa', 'gak', 'seburuk', 'itu']","['menurutku', 'kopi', 'alfamart', 'the', 'terburuk', 'sih', 'janji_jiwa', 'enggak', 'seburuk', 'itu']","['menurutku', 'kopi', 'alfamart', 'the', 'terburuk', 'sih', 'janji_jiwa', 'enggak', 'seburuk']",turut kopi alfamart the buruk sih janji_jiwa enggak buruk
@aimr0d janji_jiwa sampah abis sih mana mahal lagi enakan abc kopi susu botolan cuma 3rebu,@aimr0d janji_jiwa sampah abis sih mana mahal lagi enakan abc kopi susu botolan cuma 3rebu, janjijiwa sampah abis sih mana mahal lagi enakan abc kopi susu botolan cuma rebu, janji_jiwa sampah abis sih mana mahal lagi enakan abc kopi susu botolan cuma rebu,"['janji_jiwa', 'sampah', 'abis', 'sih', 'mana', 'mahal', 'lagi', 'enakan', 'abc', 'kopi', 'susu', 'botolan', 'cuma', 'rebu']","['janji_jiwa', 'buruk', 'habis', 'sih', 'mana', 'mahal', 'lagi', 'lebih enak', 'abc', 'kopi', 'susu', 'botolan', 'cuma', 'rebu']","['janji_jiwa', 'buruk', 'habis', 'sih', 'mana', 'mahal', 'lebih enak', 'abc', 'kopi', 'susu', 'botolan', 'cuma', 'rebu']",janji_jiwa buruk habis sih mana mahal lebih enak abc kopi susu botol cuma rebu
janji_jiwa sama point ‍️‍️‍️‍️,janji_jiwa sama point ‍️‍️‍️‍️,janjijiwa sama point ,janji_jiwa sama point ,"['janji_jiwa', 'sama', 'point']","['janji_jiwa', 'sama', 'point']","['janji_jiwa', 'sama', 'point']",janji_jiwa sama point
@ernestprakasa Based on my own experience. Untuk janji_jiwa memang paling underrated dalam hal rasa kopi dan kebersihan tempatnya,@ernestprakasa Based on my own experience., Based on my own experience, based on my own experience,"['based', 'on', 'my', 'own', 'experience']","['based', 'on', 'my', 'sendiri', 'pengalaman']","['based', 'on', 'my', 'sendiri', 'pengalaman']",based on my sendiri alam
@ernestprakasa Based on my own experience. Untuk janji_jiwa memang paling underrated dalam hal rasa kopi dan kebersihan tempatnya,Untuk janji_jiwa memang paling underrated dalam hal rasa kopi dan kebersihan tempatnya,Untuk janjijiwa memang paling underrated dalam hal rasa kopi dan kebersihan tempatnya,untuk janji_jiwa memang paling underrated dalam hal rasa kopi dan kebersihan tempatnya,"['untuk', 'janji_jiwa', 'memang', 'paling', 'underrated', 'dalam', 'hal', 'rasa', 'kopi', 'dan', 'kebersihan', 'tempatnya']","['untuk', 'janji_jiwa', 'memang', 'paling', 'underrated', 'dalam', 'hal', 'rasa', 'kopi', 'dan', 'kebersihan', 'tempatnya']","['janji_jiwa', 'memang', 'paling', 'underrated', 'rasa', 'kopi', 'kebersihan', 'tempatnya']",janji_jiwa memang paling underrated rasa kopi bersih tempat
@yonathandinata Kirain aku aja yg ngerasa janji_jiwa tu ntah kopi apa. Kagak enak ,@yonathandinata Kirain aku aja yg ngerasa janji_jiwa tu ntah kopi apa., Kirain aku aja yg ngerasa janjijiwa tu ntah kopi apa, kirain aku aja yg ngerasa janji_jiwa tu ntah kopi apa,"['kirain', 'aku', 'aja', 'yg', 'ngerasa', 'janji_jiwa', 'tu', 'ntah', 'kopi', 'apa']","['mengira', 'aku', 'saja', 'yang', 'merasa', 'janji_jiwa', 'itu', 'ga tau', 'kopi', 'apa']","['mengira', 'aku', 'merasa', 'janji_jiwa', 'ga tau', 'kopi', 'apa']",ira aku rasa janji_jiwa ga tau kopi apa
@yonathandinata Kirain aku aja yg ngerasa janji_jiwa tu ntah kopi apa. Kagak enak ,Kagak enak,Kagak enak,kagak enak,"['kagak', 'enak']","['kagak', 'enak']","['kagak', 'enak']",kagak enak
@yonathandinata janji_jiwa enak kok yg non coffee nya wkwkwkw,@yonathandinata janji_jiwa enak kok yg non coffee nya wkwkwkw, janjijiwa enak kok yg non coffee nya wkwkwkw, janji_jiwa enak kok yg non coffee nya wkwkwkw,"['janji_jiwa', 'enak', 'kok', 'yg', 'non', 'coffee', 'nya', 'wkwkwkw']","['janji_jiwa', 'enak', 'kok', 'yang', 'non', 'coffee', 'nya', 'wkwkwkw']","['janji_jiwa', 'enak', 'kok', 'non', 'coffee', 'nya', 'wkwkwkw']",janji_jiwa enak kok non coffee nya wkwkwkw
janji_jiwa kopinya kerasa kopi sachet yg kureng bgt matcha nya encer sm ada satu lg menu non coffee juga yg rasanya kek sabun,janji_jiwa kopinya kerasa kopi sachet yg kureng bgt matcha nya encer sm ada satu lg menu non coffee juga yg rasanya kek sabun,janjijiwa kopinya kerasa kopi sachet yg kureng bgt matcha nya encer sm ada satu lg menu non coffee juga yg rasanya kek sabun,janji_jiwa kopinya kerasa kopi sachet yg kureng bgt matcha nya encer sm ada satu lg menu non coffee juga yg rasanya kek sabun,"['janji_jiwa', 'kopinya', 'kerasa', 'kopi', 'sachet', 'yg', 'kureng', 'bgt', 'matcha', 'nya', 'encer', 'sm', 'ada', 'satu', 'lg', 'menu', 'non', 'coffee', 'juga', 'yg', 'rasanya', 'kek', 'sabun']","['janji_jiwa', 'kopinya', 'kerasa', 'kopi', 'sachet', 'yang', 'kurang', 'banget', 'matcha', 'nya', 'encer', 'sama', 'ada', 'satu', 'lagi', 'menu', 'non', 'coffee', 'juga', 'yang', 'rasanya', 'kayak', 'sabun']","['janji_jiwa', 'kopinya', 'kerasa', 'kopi', 'sachet', 'kurang', 'banget', 'matcha', 'nya', 'encer', 'sama', 'satu', 'menu', 'non', 'coffee', 'rasanya', 'kayak', 'sabun']",janji_jiwa kopi rasa kopi sachet kurang banget matcha nya encer sama satu menu non coffee rasa kayak sabun
