full_text,sentences,cleansing,case folding,tokens,normalize,Stopword,stemming
Fix ah big no bgt sama kopi janjiw. Udh aku coba up pake oatmilk jg masih kureng bgt . Kopi low budgetku tetep kopken aja ,Fix ah big no bgt sama kopi janjiw.,Fix ah big no bgt sama kopi janjiw,fix ah big no bgt sama kopi janjiw,"['fix', 'ah', 'big', 'no', 'bgt', 'sama', 'kopi', 'janjiw']","['fix', 'ah', 'big', 'no', 'banget', 'sama', 'kopi', 'janji jiwa']","['fix', 'ah', 'big', 'no', 'banget', 'sama', 'kopi', 'janji jiwa']",fix ah big no banget sama kopi janji_jiwa
Fix ah big no bgt sama kopi janjiw. Udh aku coba up pake oatmilk jg masih kureng bgt . Kopi low budgetku tetep kopken aja ,Udh aku coba up pake oatmilk jg masih kureng bgt .,Udh aku coba up pake oatmilk jg masih kureng bgt ,udh aku coba up pake oatmilk jg masih kureng bgt ,"['udh', 'aku', 'coba', 'up', 'pake', 'oatmilk', 'jg', 'masih', 'kureng', 'bgt']","['sudah', 'aku', 'coba', 'up', 'pakai', 'oatmilk', 'juga', 'masih', 'kurang', 'banget']","['aku', 'coba', 'up', 'pakai', 'oatmilk', 'kurang', 'banget']",aku coba up pakai oatmilk kurang banget
Fix ah big no bgt sama kopi janjiw. Udh aku coba up pake oatmilk jg masih kureng bgt . Kopi low budgetku tetep kopken aja ,Kopi low budgetku tetep kopken aja,Kopi low budgetku tetep kopken aja,kopi low budgetku tetep kopken aja,"['kopi', 'low', 'budgetku', 'tetep', 'kopken', 'aja']","['kopi', 'low', 'budgetku', 'tetap', 'kopi kenangan', 'saja']","['kopi', 'low', 'budgetku', 'tetap', 'kopi kenangan']",kopi low budgetku tetap kopi kenang
Pgn bgt kyk orang klo ke tempat makan meja nya penuh. Gm makan dulu sengaja krn niatnya hari ini mau hunting birthday treats tapi baru makan toast janjiw 1 aja gk abis padahal semalem smp gk bisa tidur mikirin skenario gimana caranya gue meminta sushi gratis di ichiban,Pgn bgt kyk orang klo ke tempat makan meja nya penuh.,Pgn bgt kyk orang klo ke tempat makan meja nya penuh,pgn bgt kyk orang klo ke tempat makan meja nya penuh,"['pgn', 'bgt', 'kyk', 'orang', 'klo', 'ke', 'tempat', 'makan', 'meja', 'nya', 'penuh']","['pengen', 'banget', 'kayak', 'orang', 'kalo', 'ke', 'tempat', 'makan', 'meja', 'nya', 'penuh']","['pengen', 'banget', 'kayak', 'orang', 'kalo', 'tempat', 'makan', 'meja', 'nya', 'penuh']",ken banget kayak orang kalo tempat makan meja nya penuh
Pgn bgt kyk orang klo ke tempat makan meja nya penuh. Gm makan dulu sengaja krn niatnya hari ini mau hunting birthday treats tapi baru makan toast janjiw 1 aja gk abis padahal semalem smp gk bisa tidur mikirin skenario gimana caranya gue meminta sushi gratis di ichiban,Gm makan dulu sengaja krn niatnya hari ini mau hunting birthday treats tapi baru makan toast janjiw 1 aja gk abis padahal semalem smp gk bisa tidur mikirin skenario gimana caranya gue meminta sushi gratis di ichiban,Gm makan dulu sengaja krn niatnya hari ini mau hunting birthday treats tapi baru makan toast janjiw  aja gk abis padahal semalem smp gk bisa tidur mikirin skenario gimana caranya gue meminta sushi gratis di ichiban,gm makan dulu sengaja krn niatnya hari ini mau hunting birthday treats tapi baru makan toast janjiw  aja gk abis padahal semalem smp gk bisa tidur mikirin skenario gimana caranya gue meminta sushi gratis di ichiban,"['gm', 'makan', 'dulu', 'sengaja', 'krn', 'niatnya', 'hari', 'ini', 'mau', 'hunting', 'birthday', 'treats', 'tapi', 'baru', 'makan', 'toast', 'janjiw', 'aja', 'gk', 'abis', 'padahal', 'semalem', 'smp', 'gk', 'bisa', 'tidur', 'mikirin', 'skenario', 'gimana', 'caranya', 'gue', 'meminta', 'sushi', 'gratis', 'di', 'ichiban']","['gm', 'makan', 'dulu', 'sengaja', 'karena', 'niatnya', 'hari', 'ini', 'mau', 'hunting', 'birthday', 'treats', 'tapi', 'baru', 'makan', 'toast', 'janji jiwa', 'saja', 'engga', 'habis', 'padahal', 'semalem', 'sampai', 'engga', 'bisa', 'tidur', 'memikirkan', 'skenario', 'bagaimana', 'caranya', 'saya', 'meminta', 'sushi', 'gratis', 'di', 'ichiban']","['gm', 'makan', 'dulu', 'sengaja', 'niatnya', 'hari', 'mau', 'hunting', 'birthday', 'treats', 'baru', 'makan', 'toast', 'janji jiwa', 'engga', 'habis', 'padahal', 'semalem', 'engga', 'tidur', 'memikirkan', 'skenario', 'bagaimana', 'caranya', 'meminta', 'sushi', 'gratis', 'ichiban']",gm makan dulu sengaja niat hari mau hunting birthday treats baru makan toast janji_jiwa engga habis padahal semalem engga tidur pikir skenario bagaimana cara minta sushi gratis ichiban
@pdagank lebih baik baikan aja sm janjiw rungkut #pislofandgawl,@pdagank lebih baik baikan aja sm janjiw rungkut #pislofandgawl, lebih baik baikan aja sm janjiw rungkut pislofandgawl, lebih baik baikan aja sm janjiw rungkut pislofandgawl,"['lebih', 'baik', 'baikan', 'aja', 'sm', 'janjiw', 'rungkut', 'pislofandgawl']","['lebih', 'baik', 'baikan', 'saja', 'sama', 'janji jiwa', 'rungkut', 'pislofandgawl']","['lebih', 'baik', 'baikan', 'sama', 'janji jiwa', 'rungkut', 'pislofandgawl']",lebih baik baik sama janji_jiwa rungkut pislofandgawl
kopi apalagi yg enak selain tuku kenangan fore janjiw,kopi apalagi yg enak selain tuku kenangan fore janjiw,kopi apalagi yg enak selain tuku kenangan fore janjiw,kopi apalagi yg enak selain tuku kenangan fore janjiw,"['kopi', 'apalagi', 'yg', 'enak', 'selain', 'tuku', 'kenangan', 'fore', 'janjiw']","['kopi', 'apalagi', 'yang', 'enak', 'selain', 'tuku', 'kenangan', 'fore', 'janji jiwa']","['kopi', 'enak', 'tuku', 'kenangan', 'fore', 'janji jiwa']",kopi enak tuku kenang fore janji_jiwa
@diesindisgrace WKWKWKWKWWK UNTUNG GUA PAKE EARPHONE ANJING JOKESNYA JELEK BANGSAT LAGI DI JANJIW MALU X,@diesindisgrace WKWKWKWKWWK UNTUNG GUA PAKE EARPHONE ANJING JOKESNYA JELEK BANGSAT LAGI DI JANJIW MALU X, WKWKWKWKWWK UNTUNG GUA PAKE EARPHONE ANJING JOKESNYA JELEK BANGSAT LAGI DI JANJIW MALU X, wkwkwkwkwwk untung gua pake earphone anjing jokesnya jelek bangsat lagi di janjiw malu x,"['wkwkwkwkwwk', 'untung', 'gua', 'pake', 'earphone', 'anjing', 'jokesnya', 'jelek', 'bangsat', 'lagi', 'di', 'janjiw', 'malu', 'x']","['wkwkwkwkwwk', 'untung', 'gua', 'pakai', 'earphone', 'anjing', 'jokesnya', 'jelek', 'bangsat', 'lagi', 'di', 'janji jiwa', 'malu', 'kali']","['wkwkwkwkwwk', 'untung', 'gua', 'pakai', 'earphone', 'anjing', 'jokesnya', 'jelek', 'bangsat', 'janji jiwa', 'malu', 'kali']",wkwkwkwkwwk untung gua pakai earphone anjing jokesnya jelek bangsat janji_jiwa malu kali
@FOODFESS2 Kopi janjiw https://t.co/gw0X3wrzZt,@FOODFESS2 Kopi janjiw https://t.co/gw0X3wrzZt, Kopi janjiw , kopi janjiw ,"['kopi', 'janjiw']","['kopi', 'janji jiwa']","['kopi', 'janji jiwa']",kopi janji_jiwa
quick question beli crunchy choco nya janjiw apa ga usah?,quick question beli crunchy choco nya janjiw apa ga usah?,quick question beli crunchy choco nya janjiw apa ga usah,quick question beli crunchy choco nya janjiw apa ga usah,"['quick', 'question', 'beli', 'crunchy', 'choco', 'nya', 'janjiw', 'apa', 'ga', 'usah']","['quick', 'question', 'beli', 'crunchy', 'choco', 'nya', 'janji jiwa', 'apa', 'engga', 'usah']","['quick', 'question', 'beli', 'crunchy', 'choco', 'nya', 'janji jiwa', 'apa', 'engga', 'usah']",quick question beli crunchy choco nya janji_jiwa apa engga usah
jir abang abang janjiw mabar ff,jir abang abang janjiw mabar ff,jir abang abang janjiw mabar ff,jir abang abang janjiw mabar ff,"['jir', 'abang', 'abang', 'janjiw', 'mabar', 'ff']","['jir', 'abang', 'abang', 'janji jiwa', 'mabar', 'ff']","['jir', 'abang', 'abang', 'janji jiwa', 'mabar', 'ff']",jir abang abang janji_jiwa mabar ff
janjiw pw banget buat ghibah,janjiw pw banget buat ghibah,janjiw pw banget buat ghibah,janjiw pw banget buat ghibah,"['janjiw', 'pw', 'banget', 'buat', 'ghibah']","['janji jiwa', 'pw', 'banget', 'buat', 'ghibah']","['janji jiwa', 'pw', 'banget', 'buat', 'ghibah']",janji_jiwa pw banget buat ghibah
Ga comberan comberan amat lah rasa ini kopsus janjiw,Ga comberan comberan amat lah rasa ini kopsus janjiw,Ga comberan comberan amat lah rasa ini kopsus janjiw,ga comberan comberan amat lah rasa ini kopsus janjiw,"['ga', 'comberan', 'comberan', 'amat', 'lah', 'rasa', 'ini', 'kopsus', 'janjiw']","['engga', 'kualitas buruk', 'kualitas buruk', 'amat', 'lah', 'rasa', 'ini', 'kopi susu', 'janji jiwa']","['engga', 'kualitas buruk', 'kualitas buruk', 'lah', 'rasa', 'kopi susu', 'janji jiwa']",engga kualitas buruk kualitas buruk lah rasa kopi susu janji_jiwa
@discountfess Ga bisa buat janjiw,@discountfess Ga bisa buat janjiw, Ga bisa buat janjiw, ga bisa buat janjiw,"['ga', 'bisa', 'buat', 'janjiw']","['engga', 'bisa', 'buat', 'janji jiwa']","['engga', 'buat', 'janji jiwa']",engga buat janji_jiwa
siapa pernah coba matcha latte nya janjiw??? lebih enak mana sama punya kopken,siapa pernah coba matcha latte nya janjiw???,siapa pernah coba matcha latte nya janjiw,siapa pernah coba matcha latte nya janjiw,"['siapa', 'pernah', 'coba', 'matcha', 'latte', 'nya', 'janjiw']","['siapa', 'pernah', 'coba', 'matcha', 'latte', 'nya', 'janji jiwa']","['siapa', 'pernah', 'coba', 'matcha', 'latte', 'nya', 'janji jiwa']",siapa pernah coba matcha latte nya janji_jiwa
